,ReportDt,Unit,Power,DocketNum
369,9/17/2023 12:00:00 AM,Vogtle 2,0,05000425
370,9/17/2023 12:00:00 AM,Vogtle 3,100,05200025
371,9/17/2023 12:00:00 AM,Vogtle 4,0,
372,9/17/2023 12:00:00 AM,Waterford 3,100,05000382
373,9/17/2023 12:00:00 AM,Watts Bar 1,100,05000390
374,9/17/2023 12:00:00 AM,Watts Bar 2,100,05000391
375,9/17/2023 12:00:00 AM,Wolf Creek 1,100,05000482
376,9/16/2023 12:00:00 AM,Arkansas Nuclear 1,100,05000313
377,9/16/2023 12:00:00 AM,Arkansas Nuclear 2,86,05000368
378,9/16/2023 12:00:00 AM,Beaver Valley 1,48,05000334
379,9/16/2023 12:00:00 AM,Beaver Valley 2,100,05000412
380,9/16/2023 12:00:00 AM,Braidwood 1,100,05000456
381,9/16/2023 12:00:00 AM,Braidwood 2,100,05000457
382,9/16/2023 12:00:00 AM,Browns Ferry 1,100,05000259
383,9/16/2023 12:00:00 AM,Browns Ferry 2,100,05000260
384,9/16/2023 12:00:00 AM,Browns Ferry 3,100,05000296
385,9/16/2023 12:00:00 AM,Brunswick 1,100,05000325
386,9/16/2023 12:00:00 AM,Brunswick 2,100,05000324
387,9/16/2023 12:00:00 AM,Byron 1,89,05000454
388,9/16/2023 12:00:00 AM,Byron 2,100,05000455
389,9/16/2023 12:00:00 AM,Callaway,100,05000483
390,9/16/2023 12:00:00 AM,Calvert Cliffs 1,100,05000317
391,9/16/2023 12:00:00 AM,Calvert Cliffs 2,100,05000318
392,9/16/2023 12:00:00 AM,Catawba 1,100,05000413
393,9/16/2023 12:00:00 AM,Catawba 2,100,05000414
394,9/16/2023 12:00:00 AM,Clinton,0,05000461
395,9/16/2023 12:00:00 AM,Columbia Generating Station,100,05000397
396,9/16/2023 12:00:00 AM,Comanche Peak 1,100,05000445
397,9/16/2023 12:00:00 AM,Comanche Peak 2,100,05000446
398,9/16/2023 12:00:00 AM,Cooper,100,05000298
399,9/16/2023 12:00:00 AM,D.C. Cook 1,100,05000315
400,9/16/2023 12:00:00 AM,D.C. Cook 2,100,05000316
401,9/16/2023 12:00:00 AM,Davis-Besse,100,05000346
402,9/16/2023 12:00:00 AM,Diablo Canyon 1,100,05000275
403,9/16/2023 12:00:00 AM,Diablo Canyon 2,100,05000323
404,9/16/2023 12:00:00 AM,Dresden 2,96,05000237
405,9/16/2023 12:00:00 AM,Dresden 3,100,05000249
406,9/16/2023 12:00:00 AM,Farley 1,100,05000348
407,9/16/2023 12:00:00 AM,Farley 2,100,05000364
408,9/16/2023 12:00:00 AM,Fermi 2,100,05000341
409,9/16/2023 12:00:00 AM,FitzPatrick,100,05000333
410,9/16/2023 12:00:00 AM,Ginna,100,05000244
411,9/16/2023 12:00:00 AM,Grand Gulf 1,100,05000416
412,9/16/2023 12:00:00 AM,Harris 1,100,05000400
413,9/16/2023 12:00:00 AM,Hatch 1,100,05000321
414,9/16/2023 12:00:00 AM,Hatch 2,100,05000366
415,9/16/2023 12:00:00 AM,Hope Creek 1,100,05000354
416,9/16/2023 12:00:00 AM,LaSalle 1,100,05000373
417,9/16/2023 12:00:00 AM,LaSalle 2,100,05000374
418,9/16/2023 12:00:00 AM,Limerick 1,90,05000352
419,9/16/2023 12:00:00 AM,Limerick 2,100,05000353
420,9/16/2023 12:00:00 AM,McGuire 1,0,05000369
421,9/16/2023 12:00:00 AM,McGuire 2,100,05000370
422,9/16/2023 12:00:00 AM,Millstone 2,68,05000336
423,9/16/2023 12:00:00 AM,Millstone 3,100,05000423
424,9/16/2023 12:00:00 AM,Monticello,100,05000263
425,9/16/2023 12:00:00 AM,Nine Mile Point 1,100,05000220
426,9/16/2023 12:00:00 AM,Nine Mile Point 2,98,05000410
427,9/16/2023 12:00:00 AM,North Anna 1,100,05000338
428,9/16/2023 12:00:00 AM,North Anna 2,0,05000339
429,9/16/2023 12:00:00 AM,Oconee 1,100,05000269
430,9/16/2023 12:00:00 AM,Oconee 2,100,05000270
